datetime,training_steps,policy_loss,value_loss,learning_rate,total_games,total_samples
2026-06-27 17:12:39,200,4.36484432220459,0.8779950141906738,0.01,20000,1777851
2026-06-27 17:13:01,400,4.327572822570801,0.8067065477371216,0.01,20000,1777851
2026-06-27 17:13:23,600,4.346652030944824,0.8023916482925415,0.01,20000,1777851
2026-06-27 17:13:45,800,4.3473429679870605,0.7586554288864136,0.01,20000,1777851
2026-06-27 17:14:07,1000,4.3039469718933105,0.7813563942909241,0.01,20000,1777851
2026-06-27 21:44:08,1200,4.233462333679199,0.8206970691680908,0.01,25000,2388274
2026-06-27 21:44:31,1400,4.137083530426025,0.7627795934677124,0.01,25000,2388274
2026-06-27 21:44:53,1600,4.0576558113098145,0.7881433367729187,0.01,25000,2388274
2026-06-27 21:45:15,1800,4.077263832092285,0.831608235836029,0.01,25000,2388274
2026-06-27 21:45:38,2000,3.9545702934265137,0.7949413061141968,0.01,25000,2388274
2026-06-28 02:15:59,2200,3.7275123596191406,0.7923412322998047,0.01,30000,2969770
2026-06-28 02:16:19,2400,3.662017345428467,0.8154252767562866,0.01,30000,2969770
2026-06-28 02:16:40,2600,3.6856272220611572,0.7799524068832397,0.01,30000,2969770
2026-06-28 02:17:00,2800,3.543471336364746,0.787102460861206,0.01,30000,2969770
2026-06-28 02:17:20,3000,3.4976725578308105,0.7525148391723633,0.01,30000,2969770
2026-06-28 06:45:39,3200,3.4688820838928223,0.7868967056274414,0.01,35000,3528245
2026-06-28 06:46:01,3400,3.4180445671081543,0.7861366868019104,0.01,35000,3528245
2026-06-28 06:46:23,3600,3.30074143409729,0.7517060041427612,0.01,35000,3528245
2026-06-28 06:46:45,3800,3.3026466369628906,0.7552418112754822,0.01,35000,3528245
2026-06-28 06:47:07,4000,3.3587708473205566,0.8212703466415405,0.01,35000,3528245
2026-06-28 11:19:54,4200,3.2934999465942383,0.804137110710144,0.01,40000,4102176
2026-06-28 11:20:17,4400,3.150862216949463,0.786129355430603,0.01,40000,4102176
2026-06-28 11:20:41,4600,3.159693717956543,0.7928583025932312,0.01,40000,4102176
2026-06-28 11:21:05,4800,3.080568313598633,0.75058913230896,0.01,40000,4102176
2026-06-28 11:21:28,5000,3.234996795654297,0.7780875563621521,0.01,40000,4102176
