vanilla_az,top_k_az,top_bot_k_az,rl_az,rand_az
0,144190,143258,381.5715984757144,170624
165413,0,136254,210.77710788282315,149690
160912,133853,0,208.50663919527605,175490
173928,148401,182196,0,166152
147516,139936,171697,402.0195358369762,0
