[2026-05-13 15:12:21.823] actor-3 started
[2026-05-13 16:47:56.536] Game 12: Simulations: 26118; Returns: 1 -1; Actions: B d4 W f2 B j1 W j7 B h6 W h3 B g2 W a9 B b1 W b3 B j4 W a4 B g8 W d8 B a3 W a1 B h4 W f5 B g4 W c6 B b5 W PASS B c1 W g7 B j3 W j2 B g6 W j5 B b6 W h2 B d9 W f4 B c4 W g9 B h8 W h9 B j8 W PASS B d1 W PASS B c3 W b2 B g3 W c9 B h1 W a7 B b4 W e9 B c5 W a8 B a2 W c2 B e2 W e1 B e5 W b7 B PASS W b9 B d6 W h2 B e3 W PASS B h7 W h3 B c7 W a1 B f6 W PASS B d2 W e8 B e6 W f3 B j2 W f8 B a2 W e4 B a3 W a5 B b3 W c8 B j9 W j6 B PASS W g5 B f1 W b8 B d5 W f9 B b2 W d9 B h3 W a6 B f7 W d7 B c6 W PASS B PASS
[2026-05-13 16:55:27.473] Game 13: Simulations: 32529; Returns: 1 -1; Actions: B f1 W b3 B g5 W e4 B h3 W h5 B d4 W j7 B b9 W b8 B j5 W f8 B d1 W b4 B c1 W a6 B d5 W c8 B f5 W e2 B d3 W b5 B c3 W g4 B a4 W PASS B a7 W h9 B e1 W a5 B d6 W PASS B c6 W g9 B j6 W PASS B e7 W PASS B j2 W j1 B g1 W j4 B b1 W PASS B e5 W PASS B a8 W c5 B g8 W f4 B g6 W j9 B d7 W e3 B j3 W d9 B c2 W e8 B e6 W PASS B e9 W c7 B PASS W g7 B h2 W d8 B b2 W h8 B f7 W j8 B h1 W a3 B h4 W h6 B d2 W a1 B c9 W b7 B g3 W f3 B f2 W a9 B e3 W a7 B f6 W g4 B a2 W f9 B h7 W g8 B e4 W c9 B b6 W c4 B f4 W h6 B h5 W e9 B e2 W a4 B h7 W a8 B h6 W PASS B PASS
[2026-05-13 17:03:31.491] Game 14: Simulations: 36243; Returns: -1 1; Actions: B g9 W j8 B g2 W c1 B j3 W j5 B e5 W f8 B a7 W j1 B f1 W c7 B a3 W PASS B h2 W PASS B e8 W PASS B a5 W PASS B a4 W PASS B a9 W h5 B h1 W PASS B g1 W PASS B e4 W a2 B d1 W d4 B c5 W f6 B d2 W e9 B j7 W j6 B d3 W j9 B f5 W d6 B b2 W g8 B g4 W e6 B e7 W f2 B b4 W f9 B c6 W c2 B f4 W e2 B g5 W j4 B d5 W d8 B d7 W h9 B b7 W c3 B a8 W g9 B f7 W h8 B b6 W h7 B g6 W f6 B j2 W c9 B b3 W h3 B PASS W d9 B j1 W e3 B h6 W e1 B c4 W e6 B d6 W c8 B h4 W f3 B b9 W d2 B b5 W a1 B a6 W d1 B d3 W g3 B j1 W h1 B g1 W d4 B e6 W j2 B b8 W h2 B b1 W a2 B g2 W d3 B a1 W j7 B f6 W j3 B a2 W PASS B PASS
[2026-05-13 17:14:28.564] Game 15: Simulations: 54469; Returns: -1 1; Actions: B h6 W e3 B g7 W g2 B d5 W d8 B h1 W c8 B f1 W c2 B b8 W g5 B e8 W d6 B b6 W j3 B b2 W j8 B e4 W a9 B b1 W j9 B a7 W g1 B e1 W PASS B h2 W j4 B e6 W a3 B a1 W PASS B d1 W PASS B j1 W PASS B g9 W a2 B j5 W d2 B j6 W PASS B h3 W PASS B e2 W PASS B f8 W e7 B h9 W c6 B c7 W j7 B PASS W c1 B e5 W c4 B c3 W d9 B c9 W b5 B h4 W f6 B b3 W g8 B d3 W d4 B PASS W g4 B PASS W d2 B c1 W b4 B c2 W a6 B f4 W b7 B a4 W e9 B f7 W f5 B f9 W g6 B g3 W a3 B d2 W c5 B h8 W f3 B d7 W d9 B e6 W e9 B d5 W e5 B f4 W a5 B h5 W e4 B b6 W e7 B d8 W a4 B e6 W f4 B h7 W e7 B j7 W d9 B c8 W b7 B e6 W b6 B j9 W b9 B e9 W e7 B a8 W f2 B d9 W a2 B f1 W b2 B j2 W a1 B d1 W d2 B d3 W c3 B e6 W j3 B e2 W c1 B g8 W PASS B e7 W a9 B b9 W d5 B j4 W b3 B a9 W c2 B j8 W PASS B PASS
[2026-05-13 17:20:56.108] Game 16: Simulations: 30030; Returns: -1 1; Actions: B h2 W e2 B j8 W g1 B h4 W d9 B f7 W b8 B j4 W j1 B c1 W a1 B f2 W e3 B a4 W h1 B d2 W j9 B e9 W c4 B g7 W j5 B c5 W j2 B j3 W h8 B d8 W g5 B f4 W f1 B g2 W PASS B f6 W PASS B a2 W PASS B d1 W PASS B b3 W PASS B e8 W PASS B f8 W b2 B e6 W a9 B d4 W a7 B g3 W g4 B f5 W f3 B h7 W b6 B j7 W c7 B g9 W b7 B a6 W b5 B e5 W h6 B h9 W e7 B b1 W c8 B d5 W e1 B PASS W h3 B a1 W PASS B a5 W d3 B e4 W PASS B g2 W c9 B a3 W b9 B d7 W f2 B g8 W j6 B f9 W h5 B d6 W g3 B j3 W b4 B c2 W j4 B h8 W h4 B j9 W c3 B e7 W g6 B PASS W PASS
[2026-05-13 17:30:05.883] Game 17: Simulations: 45764; Returns: 1 -1; Actions: B f2 W g2 B b1 W d8 B g9 W f1 B b5 W c7 B b9 W f6 B c6 W c8 B g5 W d6 B h3 W h7 B a3 W g6 B d5 W e9 B j4 W PASS B j9 W a5 B d3 W h1 B e1 W h2 B e8 W e3 B d1 W f7 B a6 W PASS B f3 W PASS B a2 W PASS B b2 W PASS B e4 W PASS B c4 W c1 B f4 W g1 B j8 W e6 B e5 W b8 B h4 W e2 B c9 W j5 B h8 W f5 B h9 W d2 B e1 W j3 B j7 W f8 B f9 W PASS B j1 W h6 B a9 W e7 B a4 W b7 B c3 W j2 B g3 W b4 B b3 W g8 B h5 W e8 B a1 W j6 B j1 W h8 B d4 W g2 B j7 W g1 B b6 W g9 B h2 W j9 B d1 W a7 B a8 W j2 B j3 W f1 B g4 W d7 B b4 W c2 B c5 W j8 B e1 W d9 B h1 W j7 B d1 W g1 B b9 W c1 B d2 W e3 B c2 W f9 B a9 W f1 B a5 W c9 B j2 W a8 B g2 W h9 B f1 W b9 B c1 W PASS B PASS
[2026-05-13 17:35:33.530] Game 18: Simulations: 25822; Returns: 1 -1; Actions: B g6 W j9 B a1 W e9 B a3 W b9 B b7 W b8 B h5 W j1 B f2 W f8 B j2 W d4 B d7 W a7 B a9 W PASS B d2 W PASS B a2 W PASS B h2 W PASS B g7 W c8 B h6 W PASS B g4 W PASS B f1 W PASS B e2 W h1 B f3 W g9 B h3 W PASS B g2 W h4 B c4 W c2 B a4 W d5 B j6 W j5 B g5 W h7 B b4 W c7 B g3 W j3 B c1 W j8 B PASS W g8 B h8 W c3 B j7 W a8 B c5 W a5 B e7 W c9 B f7 W e5 B b3 W f5 B d6 W e8 B b5 W d8 B a6 W d1 B h9 W e3 B e4 W f6 B j9 W f4 B e6 W b1 B j4 W d3 B j5 W a9 B e1 W e4 B c6 W c1 B b6 W PASS B PASS
[2026-05-13 17:45:25.302] Game 19: Simulations: 50827; Returns: 1 -1; Actions: B h2 W g3 B f9 W c6 B f2 W g9 B e7 W a2 B g8 W b5 B f6 W d3 B d4 W e8 B a3 W e5 B h1 W PASS B c4 W j2 B c7 W PASS B g5 W PASS B b8 W c2 B d7 W e2 B d9 W PASS B h6 W PASS B h9 W f3 B a5 W j3 B b7 W g7 B j1 W b4 B d6 W j8 B f4 W f8 B a6 W c9 B j5 W c3 B c5 W a1 B g2 W d8 B e6 W e9 B b6 W h3 B j4 W c1 B h5 W h7 B c6 W PASS B d1 W h8 B a4 W g4 B d2 W d5 B a8 W g9 B b3 W f5 B e4 W a9 B PASS W j9 B b9 W g1 B b2 W g8 B e3 W f1 B h1 W b4 B f5 W e1 B g6 W j6 B c8 W f9 B a9 W h9 B j7 W d1 B b1 W j6 B d9 W e5 B j7 W a1 B b5 W c9 B g2 W h4 B d9 W j6 B d5 W c9 B a2 W j7 B a1 W h2 B d9 W j1 B f7 W e9 B g7 W j7 B e5 W h9 B b4 W f2 B j6 W f9 B g9 W h8 B e8 W g8 B d8 W g9 B PASS W j9 B f8 W h7 B PASS W g2 B PASS W d2 B PASS W PASS
[2026-05-13 17:54:11.598] Game 20: Simulations: 42455; Returns: 1 -1; Actions: B g7 W f6 B e8 W f7 B c3 W c5 B e5 W PASS B c8 W g8 B b2 W c4 B j1 W b4 B a2 W e4 B d4 W h6 B e9 W h5 B b1 W a6 B d2 W b6 B a4 W h9 B a7 W j5 B f2 W h2 B d1 W PASS B j4 W PASS B b9 W PASS B e7 W g1 B f8 W c6 B g9 W h8 B g6 W d8 B j3 W h1 B d9 W a3 B j7 W a9 B b7 W a5 B d7 W b5 B e6 W f3 B g3 W b8 B PASS W c1 B f9 W PASS B d5 W PASS B j2 W f5 B b3 W j8 B a8 W e1 B f1 W d6 B h4 W e2 B g5 W c7 B a9 W h7 B b8 W d3 B c2 W g4 B a4 W b6 B c1 W h3 B j1 W j2 B j3 W c7 B h4 W j4 B e3 W j6 B c6 W g6 B PASS W h4 B f4 W a5 B e1 W g2 B a3 W b5 B b4 W a6 B e4 W c5 B PASS W j9 B c9 W g7 B c7 W g5 B a1 W f3 B d6 W j3 B g3 W j1 B f3 W PASS B PASS
[2026-05-13 18:05:20.461] Game 21: Simulations: 52728; Returns: 1 -1; Actions: B c9 W g4 B d4 W c1 B j9 W b8 B d3 W e8 B f2 W PASS B d8 W f9 B d1 W b2 B c8 W a7 B e3 W h3 B a6 W a2 B e7 W f6 B h8 W c4 B f3 W g5 B a5 W j1 B d6 W PASS B g8 W j7 B a1 W g9 B a3 W PASS B h7 W PASS B e5 W f1 B g6 W PASS B a9 W PASS B b4 W f4 B f7 W d5 B PASS W h5 B h6 W d9 B d2 W PASS B j4 W e1 B j3 W b6 B b3 W b1 B b7 W PASS B e9 W j6 B PASS W b5 B PASS W d7 B d9 W a4 B e2 W h1 B e4 W c7 B h2 W c3 B g1 W a3 B f8 W g3 B e8 W e1 B a8 W f5 B h4 W g2 B b9 W j8 B b4 W h9 B a6 W j5 B c5 W PASS B b7 W a5 B f1 W a7 B j2 W a1 B e1 W b8 B j1 W c6 B b7 W h1 B j9 W j3 B j1 W h9 B g7 W a6 B j2 W f9 B c2 W j4 B b3 W h2 B PASS W c7 B PASS W b1 B c4 W a3 B g9 W e6 B a7 W a2 B d5 W j2 B b6 W d7 B b8 W a4 B b5 W a6 B c1 W j1 B c6 W d7 B a5 W j9 B b2 W PASS B PASS
