datetime,training_steps,game_length,game_result,num_passes,black_elo_rating,white_elo_rating,value_mse_error,policy_entropy,policy_top_1_accuracy,policy_top_3_accuracy,policy_top_5_accuracy
2026-05-27 17:32:02,1000,150,B+49.5,2,16.0,-15.263693206478006,1.229041094855801,4.396782844563377,0.027140878074899084,0.044479494759386576,0.06169231736877501
2026-05-27 17:33:30,2000,84,W+7.5,2,0.7363067935219938,32.0,1.3236509206958633,4.327337051440302,0.027140878074899084,0.04443111242281001,0.06198744962189204
2026-05-28 10:06:19,2000,4,W+88.5,3,-15.263693206478006,16.0,0.24147842824759472,0.9405060529823062,4.288588057011729,0.027140878074899084,0.045058470053752776,0.06318249333533314
2026-05-28 10:07:02,4000,2,W+7.5,2,-30.527386412956012,0.7363067935219938,0.22952629627457866,0.9423108830495546,3.8120943482841305,0.027134427096688875,0.04391180867688824,0.0614504056858922
2026-05-28 10:07:44,5000,3,B+73.5,2,-14.527386412956012,-45.791079619434015,0.23845861853161548,0.9454651067407581,3.880764023447013,0.0271166869066108,0.04511330336853955,0.06383081664545907
2026-05-28 10:08:27,7000,17,B+0.5,8,1.4726135870439876,-29.79107961943402,0.24183705454117335,0.9404037825937565,3.9567992833127,0.02690703011477903,0.04694699392479127,0.06720790373850315
2026-05-28 10:09:10,8000,19,B+0.5,9,17.472613587043988,-13.791079619434019,0.23110030590750108,0.9427295688204278,3.8191575103094695,0.026376437156989393,0.04580678352613694,0.0653516347585157
