datetime,training_steps,policy_loss,value_loss,learning_rate,total_games,total_samples
2026-05-27 17:31:14,200,4.403703689575195,0.8843289613723755,0.01,100,10237
2026-05-27 17:31:22,400,4.3900675773620605,0.5158247351646423,0.01,100,10237
2026-05-27 17:31:29,600,4.399328231811523,0.7193166017532349,0.01,100,10237
2026-05-27 17:31:36,800,4.390100479125977,0.33996403217315674,0.01,100,10237
2026-05-27 17:31:44,1000,4.385164737701416,0.24556761980056763,0.01,100,10237
2026-05-27 17:32:11,1200,4.347153663635254,0.6988559365272522,0.01,200,13643
2026-05-27 17:32:18,1400,4.303356647491455,0.3138367533683777,0.01,200,13643
2026-05-27 17:32:25,1600,4.309519290924072,0.21315951645374298,0.01,200,13643
2026-05-27 17:32:32,1800,4.307749271392822,0.22827374935150146,0.01,200,13643
2026-05-27 17:32:39,2000,4.317205905914307,0.6182044744491577,0.01,200,13643
2026-05-27 17:33:07,2200,4.231125354766846,0.3276151120662689,0.01,300,17293
2026-05-27 17:33:15,2400,4.246973037719727,0.2801651060581207,0.01,300,17293
2026-05-27 17:33:24,2600,4.22501802444458,0.6538771390914917,0.01,300,17293
2026-05-27 17:33:32,2800,4.235440731048584,0.2056964933872223,0.01,300,17293
2026-05-27 17:33:39,3000,4.2462158203125,0.17716427147388458,0.01,300,17293
2026-05-27 17:34:06,3200,4.210713863372803,0.682191789150238,0.01,400,20760
2026-05-28 09:30:58,200,4.4023003578186035,0.8268726468086243,0.018963076174259186,0.01,100,8487
2026-05-28 09:31:07,400,4.38809871673584,0.583126425743103,0.01843903213739395,0.01,100,8487
2026-05-28 09:31:16,600,4.37923526763916,0.7495260238647461,0.01843961328268051,0.01,100,8487
2026-05-28 09:31:25,800,4.3844828605651855,0.38163864612579346,0.018430031836032867,0.01,100,8487
2026-05-28 09:31:34,1000,4.388650894165039,0.2842772603034973,0.017717495560646057,0.01,100,8487
2026-05-28 10:02:45,200,4.399064064025879,0.4062795341014862,0.029186151921749115,0.01,10,915
2026-05-28 10:02:47,400,4.288873195648193,0.14742009341716766,0.007121836766600609,0.01,10,915
2026-05-28 10:02:50,600,4.355097770690918,0.04665283486247063,0.009070961736142635,0.01,10,915
2026-05-28 10:02:53,800,4.354901313781738,0.058366358280181885,0.007891640067100525,0.01,10,915
2026-05-28 10:02:54,1000,4.173090934753418,0.02266610413789749,0.01626126654446125,0.01,10,915
2026-05-28 10:03:30,1200,3.861961841583252,0.9968137741088867,0.021547604352235794,0.01,110,5135
2026-05-28 10:03:32,1400,4.021676540374756,1.0999579429626465,0.04259863495826721,0.01,110,5135
2026-05-28 10:03:33,1600,4.041510581970215,0.9959306716918945,0.04167475178837776,0.01,110,5135
2026-05-28 10:03:34,1800,3.873218536376953,0.9412006735801697,0.041259005665779114,0.01,110,5135
2026-05-28 10:03:35,2000,4.045725345611572,1.0088778734207153,0.015227511525154114,0.01,110,5135
2026-05-28 10:05:05,200,4.415599822998047,0.9843835234642029,0.015549842268228531,0.01,10,915
2026-05-28 10:05:06,400,4.294167518615723,0.9958012104034424,0.017911070957779884,0.01,10,915
2026-05-28 10:05:07,600,4.402559280395508,0.9887189269065857,0.01763724535703659,0.01,10,915
2026-05-28 10:05:08,800,4.362977981567383,0.9968588948249817,0.010433472692966461,0.01,10,915
2026-05-28 10:05:09,1000,4.407386779785156,0.9112846255302429,0.016140751540660858,0.01,10,915
2026-05-28 10:05:46,1200,4.371464729309082,1.0199246406555176,0.028497377410531044,0.01,110,5483
2026-05-28 10:05:47,1400,4.165752410888672,1.0244051218032837,0.044838979840278625,0.01,110,5483
2026-05-28 10:05:48,1600,4.323352813720703,1.0849109888076782,0.04393808916211128,0.01,110,5483
2026-05-28 10:05:51,1800,4.174947738647461,1.0531343221664429,0.03440824896097183,0.01,110,5483
2026-05-28 10:05:53,2000,4.20344877243042,1.0284494161605835,0.06796745210886002,0.01,110,5483
2026-05-28 10:06:19,2200,3.848252773284912,0.989479124546051,0.02336113527417183,0.01,210,8674
2026-05-28 10:06:20,2400,4.11815071105957,0.9886794090270996,0.03748103976249695,0.01,210,8674
2026-05-28 10:06:21,2600,4.3552727699279785,1.0013682842254639,0.014332490973174572,0.01,210,8674
2026-05-28 10:06:22,2800,4.047334671020508,1.0427666902542114,0.0053857178427278996,0.01,210,8674
2026-05-28 10:06:23,3000,4.220128059387207,0.9802923202514648,0.010203892365098,0.01,210,8674
2026-05-28 10:06:45,3200,3.886568069458008,1.0242047309875488,0.03524830564856529,0.01,310,11840
2026-05-28 10:06:46,3400,3.8967583179473877,1.0531662702560425,0.00398348830640316,0.01,310,11840
2026-05-28 10:06:47,3600,4.201394081115723,0.9989458322525024,0.0049255117774009705,0.01,310,11840
2026-05-28 10:06:48,3800,3.7071423530578613,0.9687517881393433,0.006452552974224091,0.01,310,11840
2026-05-28 10:06:48,4000,3.7661077976226807,1.027268409729004,0.03349235653877258,0.01,310,11840
2026-05-28 10:07:12,4200,3.3906564712524414,0.9778143167495728,0.0008325673989020288,0.01,410,15021
2026-05-28 10:07:13,4400,3.858930826187134,0.9845738410949707,0.028317559510469437,0.01,410,15021
2026-05-28 10:07:14,4600,3.789583444595337,1.0000066757202148,0.020869426429271698,0.01,410,15021
2026-05-28 10:07:15,4800,3.5163989067077637,0.9520955681800842,0.026944853365421295,0.01,410,15021
2026-05-28 10:07:16,5000,3.4330039024353027,0.9503300786018372,0.012520372867584229,0.01,410,15021
2026-05-28 10:07:44,5200,3.4902069568634033,1.0193294286727905,0.0017876718193292618,0.01,510,18685
2026-05-28 10:07:45,5400,3.751589298248291,0.9726544618606567,0.00397657323628664,0.01,510,18685
2026-05-28 10:07:46,5600,3.670543909072876,1.0151101350784302,0.0037955581210553646,0.01,510,18685
2026-05-28 10:07:47,5800,3.7598981857299805,1.0153871774673462,0.014510655775666237,0.01,510,18685
2026-05-28 10:07:48,6000,3.785757064819336,1.0058091878890991,0.0048032840713858604,0.01,510,18685
2026-05-28 10:08:08,6200,3.2913994789123535,1.0039823055267334,0.015950504690408707,0.01,610,21754
2026-05-28 10:08:09,6400,3.7118277549743652,1.0000087022781372,0.0021005577873438597,0.01,610,21754
2026-05-28 10:08:10,6600,3.5892484188079834,1.0001171827316284,0.006805134937167168,0.01,610,21754
2026-05-28 10:08:11,6800,3.698136329650879,0.9402517080307007,0.025598881766200066,0.01,610,21754
2026-05-28 10:08:12,7000,3.175097942352295,0.999957799911499,0.02173886075615883,0.01,610,21754
2026-05-28 10:08:34,7200,3.952176570892334,1.0244678258895874,0.015064767561852932,0.01,710,24826
2026-05-28 10:08:35,7400,3.266742467880249,1.0331510305404663,0.024849126115441322,0.01,710,24826
2026-05-28 10:08:36,7600,4.079656600952148,1.0197224617004395,0.0067713940516114235,0.01,710,24826
2026-05-28 10:08:37,7800,3.2627954483032227,1.0025725364685059,0.002622614847496152,0.01,710,24826
2026-05-28 10:08:38,8000,3.366302013397217,0.992019772529602,0.02787323109805584,0.01,710,24826
2026-05-28 10:09:06,8200,3.53375244140625,0.9848605394363403,0.01127287931740284,0.01,810,28568
2026-05-28 10:09:07,8400,2.837855339050293,0.922393798828125,0.0032196338288486004,0.01,810,28568
2026-05-28 10:09:09,8600,3.3291943073272705,0.9851512908935547,0.0022432722616940737,0.01,810,28568
2026-05-28 10:09:10,8800,3.2048254013061523,1.144600510597229,0.01325860433280468,0.01,810,28568
2026-05-28 10:09:11,9000,3.8876547813415527,1.1981334686279297,0.007466933224350214,0.01,810,28568
2026-05-28 10:41:48,200,4.435380935668945,1.0148359537124634,0.015708576887845993,0.01,10,915
2026-05-28 10:41:51,400,4.38621187210083,1.0002825260162354,0.022601455450057983,0.01,10,915
2026-05-28 10:41:54,600,4.360917568206787,0.9836304187774658,0.022699249908328056,0.01,10,915
2026-05-28 10:41:55,800,4.192409992218018,0.9066621661186218,0.02329535223543644,0.01,10,915
2026-05-28 10:41:56,1000,4.404644012451172,1.0129987001419067,0.019769752398133278,0.01,10,915
2026-05-28 10:42:33,1200,4.24941349029541,0.9976611733436584,0.016657663509249687,0.01,110,4914
2026-05-28 10:42:36,1400,3.734282970428467,1.0044163465499878,0.02845911681652069,0.01,110,4914
2026-05-28 10:42:39,1600,3.516261100769043,0.9956101179122925,0.033694956451654434,0.01,110,4914
2026-05-28 10:42:42,1800,3.7486746311187744,0.9676396250724792,0.02092294953763485,0.01,110,4914
2026-05-28 10:42:44,2000,3.8385989665985107,1.0064661502838135,0.01420833170413971,0.01,110,4914
