datetime,training_steps,policy_loss,value_loss,certainty_loss,learning_rate,total_games,total_samples
2026-06-25 18:14:15,200,4.3319830894470215,0.8795167207717896,0.06469850242137909,0.01,20000,2057112
2026-06-25 18:14:37,400,4.325058460235596,0.8305360078811646,0.06352497637271881,0.01,20000,2057112
2026-06-25 18:14:59,600,4.334040641784668,0.8452904224395752,0.060270220041275024,0.01,20000,2057112
2026-06-25 18:15:21,800,4.316943168640137,0.8013259768486023,0.05782052502036095,0.01,20000,2057112
2026-06-25 18:15:43,1000,4.286059379577637,0.7951817512512207,0.05721365660429001,0.01,20000,2057112
2026-06-25 21:10:15,1200,4.212625503540039,0.8824381828308105,0.05085388571023941,0.01,25000,2713214
2026-06-25 21:10:36,1400,4.112985134124756,0.8231226801872253,0.05095673352479935,0.01,25000,2713214
2026-06-25 21:10:58,1600,4.044809818267822,0.8153371810913086,0.04577523469924927,0.01,25000,2713214
2026-06-25 21:11:20,1800,3.945852756500244,0.8197011351585388,0.04549426585435867,0.01,25000,2713214
2026-06-25 21:11:42,2000,3.9179279804229736,0.8467252254486084,0.053405918180942535,0.01,25000,2713214
2026-06-26 00:02:35,2200,3.612036943435669,0.8024424910545349,0.04204190522432327,0.01,30000,3294481
2026-06-26 00:02:57,2400,3.5056982040405273,0.804246187210083,0.04215458780527115,0.01,30000,3294481
2026-06-26 00:03:19,2600,3.5468788146972656,0.8258891701698303,0.04318786412477493,0.01,30000,3294481
2026-06-26 00:03:40,2800,3.4695897102355957,0.8057901859283447,0.04637832194566727,0.01,30000,3294481
2026-06-26 00:04:01,3000,3.3593811988830566,0.8370329141616821,0.04243553429841995,0.01,30000,3294481
2026-06-26 02:53:12,3200,3.3872480392456055,0.8257801532745361,0.04829367995262146,0.01,35000,3865780
2026-06-26 02:53:34,3400,3.245999336242676,0.800945520401001,0.039664339274168015,0.01,35000,3865780
2026-06-26 02:53:57,3600,3.2582321166992188,0.8389755487442017,0.0405326783657074,0.01,35000,3865780
2026-06-26 02:54:19,3800,3.179387092590332,0.7957485914230347,0.04173968732357025,0.01,35000,3865780
2026-06-26 02:54:41,4000,3.2373359203338623,0.8378113508224487,0.04247060418128967,0.01,35000,3865780
2026-06-26 05:28:20,4200,3.115060329437256,0.8181150555610657,0.04341538995504379,0.01,40000,4398955
2026-06-26 05:28:42,4400,3.122311592102051,0.8133970499038696,0.04032821208238602,0.01,40000,4398955
2026-06-26 05:29:04,4600,2.93458890914917,0.7478753328323364,0.03701731562614441,0.01,40000,4398955
2026-06-26 05:29:26,4800,3.004180431365967,0.7626267075538635,0.03656540438532829,0.01,40000,4398955
2026-06-26 05:29:48,5000,3.202556610107422,0.7785332202911377,0.0437810942530632,0.01,40000,4398955
2026-06-26 07:23:33,5200,3.1294007301330566,0.7825038433074951,0.04170818626880646,0.01,45000,4809377
2026-06-26 07:23:55,5400,3.050513744354248,0.7318341732025146,0.039652928709983826,0.01,45000,4809377
2026-06-26 07:24:17,5600,2.9943480491638184,0.7700409889221191,0.040042392909526825,0.01,45000,4809377
2026-06-26 07:24:39,5800,3.0322823524475098,0.7733089923858643,0.03810875117778778,0.01,45000,4809377
2026-06-26 07:25:00,6000,3.1129941940307617,0.8107706308364868,0.03908693045377731,0.01,45000,4809377
