datetime,training_steps,game_length,game_result,num_passes,black_elo_rating,white_elo_rating,certainty_mse_error,value_mse_error,policy_entropy,policy_top_1_accuracy,policy_top_3_accuracy,policy_top_5_accuracy
2026-06-27 04:37:57,1000,89,B+2.5,5,16.0,-15.263693206478006,0.11947989145625564,0.937434865259697,4.36512441739918,0.027000569298827052,0.04850651790710914,0.0719187305765078
2026-06-27 07:29:59,2000,145,B+1.5,23,32.0,0.7363067935219938,0.11437954160294199,0.93544706871267,4.125580276987113,0.030667950411330497,0.08034209537448735,0.12416520310098522
2026-06-27 10:02:30,3000,3,B+73.5,2,48.0,16.736306793521994,0.15349834713527682,0.9249526548440143,3.7578421806420557,0.053246374147059725,0.160243911486128,0.2399876786316185
2026-06-27 12:06:33,4000,33,B+1.5,10,64.0,32.73630679352199,0.2453746406993343,0.9685624794658559,3.636539602665479,0.07270736266270576,0.2055910628147876,0.30446520584265097
2026-06-27 13:54:31,5000,23,B+73.5,11,80.0,48.73630679352199,0.2617489326806547,1.0258459087719798,3.465500548093756,0.09200546397854405,0.23800400283197942,0.347765784334122
2026-06-27 14:46:23,6000,21,B+1.5,9,96.0,64.73630679352199,0.28383238484562123,1.0462369190549208,3.0751320906298685,0.0851238829728043,0.24330186868711304,0.354347394853087
2026-06-27 15:29:48,7000,25,B+0.5,8,112.0,80.73630679352199,0.3065988469035519,1.070116315196553,3.235157473063575,0.10034496605979089,0.2503963319737897,0.3617740835175894
2026-06-27 16:13:41,8000,25,B+1.5,9,128.0,96.73630679352199,0.2933133010024984,1.12988305740408,2.9685537428474777,0.08951861187850872,0.24807881805177232,0.36261109794036395
2026-06-27 16:56:04,9000,25,B+3.5,11,144.0,112.73630679352199,0.29588895032148926,1.0626808465042274,3.103161149180912,0.102980190658661,0.25788753042039414,0.3700506885612867
2026-06-27 17:38:36,10000,32,B+4.5,9,160.0,128.736306793522,0.32361298497512364,1.143810562160637,3.1123614662666506,0.10988757557724159,0.26457074384616996,0.3745857262430632
2026-06-27 18:21:45,11000,37,B+2.5,10,176.0,144.736306793522,0.2943206470742127,1.1404731533674837,2.962303599763647,0.09848224610159323,0.258672937017487,0.37264720729089557
2026-06-27 19:04:41,12000,27,B+73.5,13,192.0,160.736306793522,0.341306305452111,1.2177638229477434,3.082206722395244,0.11365978508566092,0.2657932042170045,0.3761871815837474
2026-06-27 19:48:17,13000,33,B+0.5,9,208.0,176.736306793522,0.30077907517203795,1.1043774954150807,3.00331695684162,0.10542994963398762,0.26599318454152093,0.38149149841709123
