datetime,training_steps,policy_loss,value_loss,certainty_loss,learning_rate,total_games,total_samples
2026-06-27 04:31:19,200,4.358885765075684,0.9107041358947754,0.059951234608888626,0.01,20000,1942918
2026-06-27 04:31:42,400,4.316350936889648,0.8471143245697021,0.06170237809419632,0.01,20000,1942918
2026-06-27 04:32:03,600,4.36290168762207,0.8561943173408508,0.060923945158720016,0.01,20000,1942918
2026-06-27 04:32:24,800,4.304608345031738,0.8258545994758606,0.053124070167541504,0.01,20000,1942918
2026-06-27 04:32:45,1000,4.291228294372559,0.8132095336914062,0.05403074249625206,0.01,20000,1942918
2026-06-27 07:23:23,1200,4.19089937210083,0.8434665203094482,0.04857619106769562,0.01,25000,2613066
2026-06-27 07:23:45,1400,4.095582008361816,0.8263013958930969,0.04191223531961441,0.01,25000,2613066
2026-06-27 07:24:07,1600,4.088296890258789,0.7997791767120361,0.043825358152389526,0.01,25000,2613066
2026-06-27 07:24:30,1800,3.958357572555542,0.7999114990234375,0.04495653510093689,0.01,25000,2613066
2026-06-27 07:24:52,2000,3.96419095993042,0.8502057194709778,0.050547655671834946,0.01,25000,2613066
2026-06-27 09:57:59,2200,3.6491177082061768,0.7981082201004028,0.039370737969875336,0.01,30000,3192360
2026-06-27 09:58:21,2400,3.5891098976135254,0.8086420297622681,0.03964688628911972,0.01,30000,3192360
2026-06-27 09:58:43,2600,3.582071542739868,0.8498690128326416,0.04480418562889099,0.01,30000,3192360
2026-06-27 09:59:05,2800,3.410496950149536,0.8247753977775574,0.041235703974962234,0.01,30000,3192360
2026-06-27 09:59:27,3000,3.2836201190948486,0.8016535043716431,0.03920046240091324,0.01,30000,3192360
2026-06-27 12:01:35,3200,3.4706530570983887,0.8202072381973267,0.0429573692381382,0.01,35000,3639123
2026-06-27 12:01:57,3400,3.272707939147949,0.7933841943740845,0.04091827571392059,0.01,35000,3639123
2026-06-27 12:02:17,3600,3.282794237136841,0.7595229744911194,0.03909390792250633,0.01,35000,3639123
2026-06-27 12:02:38,3800,3.229418992996216,0.7945942878723145,0.03760016709566116,0.01,35000,3639123
2026-06-27 12:02:59,4000,3.3858940601348877,0.8272138833999634,0.04764143377542496,0.01,35000,3639123
2026-06-27 13:49:39,4200,3.230741500854492,0.7572773694992065,0.043604809790849686,0.01,40000,4057140
2026-06-27 13:50:02,4400,3.0953123569488525,0.7747845649719238,0.03597148135304451,0.01,40000,4057140
2026-06-27 13:50:24,4600,3.1038737297058105,0.7392289638519287,0.03313443809747696,0.01,40000,4057140
2026-06-27 13:50:46,4800,3.0612435340881348,0.7349809408187866,0.03683116286993027,0.01,40000,4057140
2026-06-27 13:51:08,5000,3.1952247619628906,0.7844521999359131,0.04211629182100296,0.01,40000,4057140
2026-06-27 14:41:33,5200,3.1398048400878906,0.788000226020813,0.037675488740205765,0.01,45000,4245299
2026-06-27 14:41:56,5400,3.123194694519043,0.764153242111206,0.03868409991264343,0.01,45000,4245299
2026-06-27 14:42:17,5600,3.0359272956848145,0.7318915128707886,0.035662055015563965,0.01,45000,4245299
2026-06-27 14:42:39,5800,3.1298794746398926,0.7067265510559082,0.03966984152793884,0.01,45000,4245299
2026-06-27 14:43:01,6000,3.0714433193206787,0.7325966954231262,0.039555102586746216,0.01,45000,4245299
2026-06-27 15:24:48,6200,2.9666295051574707,0.690783679485321,0.031129449605941772,0.01,50000,4399902
2026-06-27 15:25:09,6400,3.095998525619507,0.7004693746566772,0.03609085828065872,0.01,50000,4399902
2026-06-27 15:25:31,6600,2.9833054542541504,0.6993227601051331,0.03301486372947693,0.01,50000,4399902
2026-06-27 15:25:52,6800,3.041135787963867,0.7459636926651001,0.0389426089823246,0.01,50000,4399902
2026-06-27 15:26:14,7000,2.991550922393799,0.6924086213111877,0.03486704081296921,0.01,50000,4399902
2026-06-27 16:08:24,7200,3.0180909633636475,0.706007182598114,0.037161849439144135,0.01,55000,4557084
