datetime,training_steps,policy_loss,value_loss,learning_rate,total_games,total_samples
2026-05-29 09:11:04,200,4.344461441040039,1.00846266746521,0.01,100,7346
2026-05-29 09:11:06,400,4.3462233543396,1.0100332498550415,0.01,100,7346
2026-05-29 09:11:07,600,4.436126708984375,1.0000001192092896,0.01,100,7346
2026-05-29 09:11:09,800,4.241191864013672,1.004725694656372,0.01,100,7346
2026-05-29 09:11:11,1000,4.320480823516846,1.0049830675125122,0.01,100,7346
2026-05-29 09:11:20,1200,4.259360313415527,0.9836270213127136,0.01,200,10605
2026-05-29 09:11:22,1400,4.400907039642334,1.0305678844451904,0.01,200,10605
2026-05-29 09:11:24,1600,4.18943452835083,1.0212762355804443,0.01,200,10605
2026-05-29 09:11:25,1800,4.093742847442627,1.026862382888794,0.01,200,10605
2026-05-29 09:11:27,2000,4.159557819366455,0.9985150098800659,0.01,200,10605
2026-05-29 09:11:35,2200,4.158810138702393,1.0218267440795898,0.01,300,13940
2026-05-29 09:11:38,2400,3.8459086418151855,0.9515392780303955,0.01,300,13940
2026-05-29 09:11:40,2600,4.0659708976745605,1.0156116485595703,0.01,300,13940
2026-05-29 09:11:42,2800,4.049215316772461,1.0098247528076172,0.01,300,13940
2026-05-29 09:11:44,3000,4.069171905517578,1.1158298254013062,0.01,300,13940
