datetime,game_length,game_result,num_passes,is_resign_disabled,is_marked_for_resign,is_could_won,marked_resign_player,resign_threshold,time_per_game,training_steps
2026-05-29 09:43:43,162,W+42.5,8,True,False,False,,-1,47.8021,0
2026-05-29 09:44:06,103,B+22.5,3,True,False,False,,-1,35.3125,0
2026-05-29 09:45:06,162,W+50.5,12,True,False,False,,-1,43.3641,0
2026-05-29 09:54:15,118,W+31.5,5,True,False,False,,-1,169.8307,0
2026-05-29 09:55:21,160,W+35.5,8,True,False,False,,-1,149.1483,0
2026-05-29 09:56:23,162,B+32.5,11,True,False,False,,-1,134.6384,0
2026-05-29 09:57:27,146,B+51.5,8,True,False,False,,-1,124.5102,0
2026-05-29 09:58:02,95,W+1.5,9,True,False,False,,-1,113.2994,0
2026-05-29 09:58:21,56,W+4.5,2,True,False,False,,-1,102.8476,0
2026-05-29 09:59:16,137,W+34.5,7,True,False,False,,-1,97.9917,0
2026-05-29 10:00:04,113,W+2.5,5,True,False,False,,-1,93.5112,0
2026-05-29 10:00:34,83,B+3.5,4,True,False,False,,-1,88.2075,0
2026-05-29 10:01:09,106,W+9.5,12,True,False,False,,-1,84.1292,0
2026-05-29 10:01:36,124,B+3.5,4,True,False,False,,-1,80.0044,0
2026-05-29 10:02:09,113,W+16.5,3,True,False,False,,-1,76.9163,0
2026-05-29 10:02:53,118,B+14.5,6,True,False,False,,-1,74.8406,0
2026-05-29 10:03:43,128,W+22.5,9,True,False,False,,-1,73.4008,0
2026-05-29 10:04:37,143,W+35.5,9,True,False,False,,-1,72.2987,0
2026-05-29 10:05:43,162,B+38.5,9,True,False,False,,-1,71.9737,0
2026-05-29 10:06:29,112,W+16.5,6,True,False,False,,-1,70.6864,0
2026-05-29 10:07:28,162,W+46.5,14,True,False,False,,-1,70.128,0
2026-05-29 10:08:10,114,B+7.5,4,True,False,False,,-1,68.8148,0
2026-05-29 10:08:49,99,W+12.5,2,True,False,False,,-1,67.5257,0
2026-05-29 10:09:26,105,B+9.5,3,True,False,False,,-1,66.2626,0
2026-05-29 10:10:29,162,B+31.5,8,True,False,False,,-1,66.1479,0
2026-05-29 10:11:21,133,B+44.5,9,True,False,False,,-1,65.5732,0
2026-05-29 10:12:12,130,W+6.5,10,True,False,False,,-1,65.0593,0
2026-05-29 10:12:40,62,W+6.5,2,True,False,False,,-1,63.732,0
2026-05-29 10:13:20,95,B+9.5,4,True,False,False,,-1,62.917,0
2026-05-29 10:14:00,103,W+16.5,5,True,False,False,,-1,62.1387,0
2026-05-29 10:15:02,162,B+46.5,6,True,False,False,,-1,62.1418,0
2026-05-29 10:15:42,107,W+3.5,3,True,False,False,,-1,61.4562,0
2026-05-29 10:16:08,77,B+1.5,10,True,False,False,,-1,60.3689,0
2026-05-29 10:16:38,77,B+9.5,5,True,False,False,,-1,59.4944,0
2026-05-29 10:17:15,92,B+4.5,4,True,False,False,,-1,58.8458,0
2026-05-29 10:18:21,162,W+40.5,6,True,False,False,,-1,59.0502,0
2026-05-29 10:18:51,69,B+4.5,3,True,False,False,,-1,58.262,0
2026-05-29 10:20:00,161,B+35.5,7,True,False,False,,-1,58.5378,0
2026-05-29 10:21:02,156,W+62.5,11,True,False,False,,-1,58.6212,0
2026-05-29 10:21:51,123,W+23.5,8,True,False,False,,-1,58.3774,0
2026-05-29 10:22:33,123,W+46.5,5,True,False,False,,-1,57.9957,0
2026-05-29 10:23:09,93,W+3.5,6,True,False,False,,-1,57.4488,0
2026-05-29 10:23:49,89,B+4.5,3,True,False,False,,-1,57.0605,0
2026-05-29 10:25:01,162,B+58.5,7,True,False,False,,-1,57.3908,0
2026-05-29 10:26:10,162,B+23.5,7,True,False,False,,-1,57.6505,0
2026-05-29 10:26:45,94,W+5.5,7,True,False,False,,-1,57.1583,0
2026-05-29 10:27:42,146,B+47.5,7,True,False,False,,-1,57.1466,0
2026-05-29 10:28:24,108,B+0.5,7,True,False,False,,-1,56.835,0
2026-05-29 10:29:07,112,B+0.5,10,True,False,False,,-1,56.5545,0
2026-05-29 10:30:15,162,W+30.5,4,True,False,False,,-1,56.7874,0
2026-05-29 10:31:01,118,W+26.5,2,True,False,False,,-1,56.584,0
2026-05-29 10:31:37,99,W+0.5,7,True,False,False,,-1,56.1791,0
2026-05-29 10:32:22,115,B+10.5,8,True,False,False,,-1,55.9709,0
2026-05-29 10:33:03,105,W+0.5,4,True,False,False,,-1,55.6924,0
2026-05-29 10:33:51,119,W+4.5,10,True,False,False,,-1,55.5519,0
2026-05-29 10:34:33,101,W+9.5,5,True,False,False,,-1,55.3017,0
2026-05-29 10:35:06,145,B+53.5,7,True,False,False,,-1,54.9097,0
2026-05-29 10:36:10,162,B+36.5,8,True,False,False,,-1,55.0715,0
2026-05-29 10:36:48,101,B+7.5,8,True,False,False,,-1,54.7904,0
2026-05-29 10:37:36,128,W+29.5,9,True,False,False,,-1,54.6771,0
2026-05-29 10:38:12,97,B+1.5,3,True,False,False,,-1,54.3635,0
2026-05-29 10:38:52,110,B+0.5,4,True,False,False,,-1,54.1295,0
2026-05-29 10:39:31,162,W+44.5,3,True,False,False,,-1,53.8998,0
2026-05-29 10:40:36,162,W+42.5,8,True,False,False,,-1,54.0711,0
2026-05-29 10:41:37,139,B+39.5,9,True,False,False,,-1,54.1747,0
2026-05-29 10:42:15,103,W+24.5,6,True,False,False,,-1,53.9281,0
2026-05-29 10:43:20,162,W+34.5,11,True,False,False,,-1,54.0948,0
2026-05-29 10:43:50,76,W+2.5,5,True,False,False,,-1,53.7398,0
2026-05-29 10:44:09,65,B+0.5,4,True,False,False,,-1,53.2353,0
2026-05-29 10:44:58,162,B+32.5,5,True,False,False,,-1,53.1807,0
2026-05-29 10:45:51,131,B+34.5,9,True,False,False,,-1,53.1745,0
2026-05-29 10:46:41,162,W+48.5,6,True,False,False,,-1,53.1324,0
2026-05-29 10:47:25,105,B+4.5,2,True,False,False,,-1,53.0032,0
2026-05-29 10:47:54,73,B+23.5,2,True,False,False,,-1,52.6752,0
2026-05-29 10:48:49,139,W+21.5,22,True,False,False,,-1,52.7046,0
2026-05-29 10:49:53,161,B+27.5,8,True,False,False,,-1,52.8611,0
2026-05-29 10:51:00,159,W+41.5,14,True,False,False,,-1,53.0414,0
2026-05-29 10:51:24,68,W+5.5,2,True,False,False,,-1,52.6754,0
2026-05-29 10:51:56,73,B+1.5,6,True,False,False,,-1,52.4136,0
2026-05-29 10:52:18,58,W+6.5,2,True,False,False,,-1,52.0275,0
2026-05-29 10:53:12,146,B+1.5,11,True,False,False,,-1,52.049,0
2026-05-29 10:54:15,162,W+46.5,4,True,False,False,,-1,52.1821,0
2026-05-29 10:54:40,73,B+3.5,7,True,False,False,,-1,51.8584,0
2026-05-29 10:55:18,162,B+2.5,8,True,False,False,,-1,51.6983,0
2026-05-29 10:55:47,130,B+19.5,12,True,False,False,,-1,51.4304,0
2026-05-29 10:56:03,72,W+0.5,3,True,False,False,,-1,51.0146,0
2026-05-29 10:56:47,159,W+54.5,16,True,False,False,,-1,50.9278,0
2026-05-29 10:57:27,105,B+15.5,2,True,False,False,,-1,50.8037,0
2026-05-29 10:58:11,113,W+2.5,3,True,False,False,,-1,50.7375,0
2026-05-29 10:58:52,133,B+27.5,9,True,False,False,,-1,50.6226,0
2026-05-29 10:59:51,151,B+41.5,5,True,False,False,,-1,50.7204,0
2026-05-29 11:00:36,100,W+8.5,5,True,False,False,,-1,50.6546,0
2026-05-29 11:01:33,144,B+31.5,11,True,False,False,,-1,50.7254,0
2026-05-29 11:02:23,125,B+34.5,5,True,False,False,,-1,50.7175,0
2026-05-29 11:03:05,108,B+5.5,8,True,False,False,,-1,50.6202,0
2026-05-29 11:03:44,105,W+16.5,5,True,False,False,,-1,50.5021,0
2026-05-29 11:04:28,109,B+22.5,4,True,False,False,,-1,50.4349,0
2026-05-29 11:05:04,157,B+50.5,10,True,False,False,,-1,50.286,0
2026-05-29 11:05:17,61,B+3.5,3,True,False,False,,-1,49.9071,0
2026-05-29 11:05:43,109,W+0.5,12,True,False,False,,-1,49.6749,0
2026-05-29 11:06:15,112,B+1.5,8,True,False,False,,-1,49.5117,0
2026-05-29 11:07:10,138,W+6.5,10,True,False,False,,-1,49.8352,0
2026-05-29 11:08:17,162,W+58.5,8,True,False,False,,-1,49.9085,0
2026-05-29 11:09:05,121,B+38.5,7,True,False,False,,-1,44.8978,0
2026-05-29 11:09:54,118,W+16.5,8,True,False,False,,-1,44.726,0
2026-05-29 11:10:45,115,W+2.5,7,True,False,False,,-1,44.612,0
2026-05-29 11:11:35,130,W+45.5,11,True,False,False,,-1,44.4756,0
2026-05-29 11:12:18,108,B+11.5,8,True,False,False,,-1,44.5565,0
2026-05-29 11:12:51,86,B+2.5,2,True,False,False,,-1,44.6913,0
2026-05-29 11:13:38,116,W+23.5,7,True,False,False,,-1,44.6172,0
2026-05-29 11:14:20,113,W+6.5,9,True,False,False,,-1,44.553,0
2026-05-29 11:15:23,162,B+34.5,6,True,False,False,,-1,44.8862,0
2026-05-29 11:16:03,106,B+2.5,9,True,False,False,,-1,44.9345,0
2026-05-29 11:17:02,152,B+40.5,7,True,False,False,,-1,45.2655,0
2026-05-29 11:17:32,117,B+10.5,11,True,False,False,,-1,45.2269,0
2026-05-29 11:18:30,162,B+56.5,16,True,False,False,,-1,45.3634,0
2026-05-29 11:19:36,162,W+44.5,7,True,False,False,,-1,45.5195,0
2026-05-29 11:20:34,139,W+35.5,4,True,False,False,,-1,45.5657,0
2026-05-29 11:20:57,60,W+7.5,3,True,False,False,,-1,45.1312,0
2026-05-29 11:22:05,162,B+42.5,6,True,False,False,,-1,45.3505,0
2026-05-29 11:22:43,110,W+6.5,7,True,False,False,,-1,45.1444,0
2026-05-29 11:23:29,117,B+31.5,4,True,False,False,,-1,45.1883,0
2026-05-29 11:24:09,121,B+20.5,7,True,False,False,,-1,45.1994,0
2026-05-29 11:24:51,141,B+41.5,5,True,False,False,,-1,45.2475,0
2026-05-29 11:25:24,114,W+3.5,8,True,False,False,,-1,44.9478,0
2026-05-29 11:25:46,103,W+1.5,7,True,False,False,,-1,44.6498,0
2026-05-29 11:26:26,162,W+39.5,11,True,False,False,,-1,44.5331,0
2026-05-29 11:27:14,134,W+10.5,22,True,False,False,,-1,44.7334,0
2026-05-29 11:27:57,109,B+23.5,5,True,False,False,,-1,44.7691,0
2026-05-29 11:28:38,116,B+4.5,12,True,False,False,,-1,44.7807,0
2026-05-29 11:29:27,129,B+15.5,11,True,False,False,,-1,44.6447,0
2026-05-29 11:30:08,105,W+0.5,9,True,False,False,,-1,44.6515,0
2026-05-29 11:30:47,93,B+9.5,9,True,False,False,,-1,44.793,0
2026-05-29 11:31:19,107,W+0.5,10,True,False,False,,-1,44.8062,0
2026-05-29 11:31:24,24,W+7.5,2,True,False,False,,-1,44.4864,0
2026-05-29 11:32:28,162,W+42.5,10,True,False,False,,-1,44.4616,0
2026-05-29 11:32:37,28,W+8.5,2,True,False,False,,-1,44.2544,0
2026-05-29 11:33:14,91,B+0.5,3,True,False,False,,-1,43.9401,0
2026-05-29 11:33:55,102,W+8.5,5,True,False,False,,-1,43.7324,0
2026-05-29 11:34:35,99,B+19.5,4,True,False,False,,-1,43.6408,0
2026-05-29 11:35:35,143,W+17.5,6,True,False,False,,-1,43.8128,0
2026-05-29 11:36:22,120,B+0.5,3,True,False,False,,-1,43.929,0
2026-05-29 11:37:07,112,B+13.5,9,True,False,False,,-1,43.9756,0
2026-05-29 11:37:17,26,W+7.5,2,True,False,False,,-1,43.3557,0
2026-05-29 11:38:21,162,W+40.5,6,True,False,False,,-1,43.3061,0
2026-05-29 11:39:15,136,B+33.5,9,True,False,False,,-1,43.4979,0
2026-05-29 11:40:02,123,W+0.5,14,True,False,False,,-1,43.3982,0
2026-05-29 11:40:15,40,W+4.5,2,True,False,False,,-1,43.1062,0
2026-05-29 11:41:17,162,W+32.5,10,True,False,False,,-1,43.2963,0
2026-05-29 11:42:28,162,B+40.5,10,True,False,False,,-1,43.3253,0
2026-05-29 11:43:22,139,W+36.5,7,True,False,False,,-1,43.3999,0
2026-05-29 11:43:40,57,B+0.5,3,True,False,False,,-1,43.2257,0
2026-05-29 11:44:44,162,W+66.5,8,True,False,False,,-1,43.4194,0
2026-05-29 11:45:31,115,B+5.5,5,True,False,False,,-1,43.4775,0
2026-05-29 11:46:25,162,W+44.5,22,True,False,False,,-1,43.5373,0
2026-05-29 11:46:56,129,B+32.5,9,True,False,False,,-1,43.4315,0
2026-05-29 11:47:27,143,B+14.5,8,True,False,False,,-1,43.4154,0
2026-05-29 11:47:54,109,W+0.5,8,True,False,False,,-1,43.0406,0
2026-05-29 11:48:13,86,W+9.5,4,True,False,False,,-1,42.8454,0
2026-05-29 11:48:37,114,B+9.5,5,True,False,False,,-1,42.6027,0
2026-05-29 11:49:09,138,B+36.5,10,True,False,False,,-1,42.5701,0
2026-05-29 11:49:52,139,W+29.5,7,True,False,False,,-1,42.5972,0
2026-05-29 11:50:24,109,B+0.5,11,True,False,False,,-1,42.5258,0
2026-05-29 11:51:07,114,W+16.5,6,True,False,False,,-1,42.3058,0
2026-05-29 11:52:06,149,B+50.5,9,True,False,False,,-1,42.2831,0
2026-05-29 11:52:49,162,W+43.5,2,True,False,False,,-1,42.3414,0
2026-05-29 11:53:16,118,B+13.5,6,True,False,False,,-1,41.9528,0
2026-05-29 11:53:36,73,B+0.5,4,True,False,False,,-1,41.856,0
2026-05-29 11:54:11,162,B+29.5,8,True,False,False,,-1,42.0155,0
2026-05-29 11:55:02,145,B+36.5,7,True,False,False,,-1,42.0353,0
2026-05-29 11:55:53,131,B+33.5,4,True,False,False,,-1,42.0131,0
2026-05-29 11:56:35,108,B+11.5,5,True,False,False,,-1,41.9376,0
2026-05-29 11:57:33,142,W+56.5,6,True,False,False,,-1,42.0791,0
2026-05-29 11:58:42,162,B+21.5,8,True,False,False,,-1,42.482,0
2026-05-29 11:59:36,120,B+21.5,6,True,False,False,,-1,42.4692,0
2026-05-29 12:00:31,123,B+36.5,6,True,False,False,,-1,42.3707,0
2026-05-29 12:01:01,83,B+2.5,9,True,False,False,,-1,42.0075,0
2026-05-29 12:01:41,113,B+9.5,5,True,False,False,,-1,42.1581,0
2026-05-29 12:01:55,73,B+1.5,3,True,False,False,,-1,41.9832,0
2026-05-29 12:02:20,114,B+23.5,7,True,False,False,,-1,42.0165,0
2026-05-29 12:02:39,85,B+0.5,3,True,False,False,,-1,41.6746,0
2026-05-29 12:03:21,140,W+39.5,11,True,False,False,,-1,41.4556,0
2026-05-29 12:04:08,132,B+40.5,3,True,False,False,,-1,41.6798,0
2026-05-29 12:04:52,112,B+0.5,8,True,False,False,,-1,41.7306,0
2026-05-29 12:05:58,162,W+71.5,8,True,False,False,,-1,42.099,0
2026-05-29 12:06:43,125,B+16.5,8,True,False,False,,-1,42.3955,0
2026-05-29 12:07:13,90,W+0.5,5,True,False,False,,-1,42.2628,0
2026-05-29 12:07:53,162,B+44.5,5,True,False,False,,-1,42.2613,0
2026-05-29 12:08:35,135,B+43.5,10,True,False,False,,-1,42.2376,0
2026-05-29 12:08:45,30,W+7.5,2,True,False,False,,-1,41.9332,0
2026-05-29 12:09:40,137,W+47.5,3,True,False,False,,-1,41.8806,0
2026-05-29 12:10:04,60,W+6.5,4,True,False,False,,-1,41.6779,0
2026-05-29 12:10:43,162,B+35.5,16,True,False,False,,-1,41.4993,0
2026-05-29 12:11:09,112,W+10.5,10,True,False,False,,-1,41.2544,0
2026-05-29 12:11:51,110,W+4.5,8,True,False,False,,-1,41.2581,0
2026-05-29 12:12:45,150,W+48.5,9,True,False,False,,-1,41.4046,0
2026-05-29 12:13:19,102,W+27.5,3,True,False,False,,-1,41.309,0
2026-05-29 12:13:27,24,W+7.5,2,True,False,False,,-1,41.0242,0
2026-05-29 12:14:08,92,B+8.5,4,True,False,False,,-1,41.3097,0
2026-05-29 12:14:51,116,W+16.5,8,True,False,False,,-1,41.4731,0
2026-05-29 12:15:28,103,W+2.5,7,True,False,False,,-1,41.5302,0
2026-05-29 12:16:06,109,W+10.5,7,True,False,False,,-1,41.3539,0
2026-05-29 12:17:15,161,W+48.5,9,True,False,False,,-1,41.3754,0
